lsoa21nm,homes,candidates,deep_retrofit,mean_priority,mean_fuel_poverty,median_income_decile,tier0_urgent,candidate_rate_%
Hammersmith and Fulham 014B,457,184,41,18.234597049558754,10.9,5.0,15,40.3
Hammersmith and Fulham 013B,376,117,50,18.064240170290702,10.7,3.0,22,31.1
Hammersmith and Fulham 007C,444,168,40,18.03647741147741,11.4,4.0,17,37.8
Hammersmith and Fulham 022B,449,246,50,17.984202446897324,9.4,9.0,3,54.8
Hammersmith and Fulham 020B,347,157,24,17.95121515132322,10.1,6.0,3,45.2
Hammersmith and Fulham 010D,390,143,59,17.920354129488743,10.4,7.0,10,36.7
Hammersmith and Fulham 015B,476,211,29,17.846369316957553,11.9,6.0,9,44.3
Hammersmith and Fulham 020E,382,190,56,17.832852683965246,10.1,10.0,6,49.7
Hammersmith and Fulham 021F,396,151,30,17.719120193078524,10.900000000000002,4.0,12,38.1
Hammersmith and Fulham 021A,369,106,34,17.33167389671455,13.1,1.0,15,28.7
Hammersmith and Fulham 015D,538,181,34,17.319075009305024,11.2,1.0,22,33.6
Hammersmith and Fulham 008A,586,203,83,17.25063628540591,7.300000000000001,3.0,6,34.6
Hammersmith and Fulham 024A,390,158,71,16.942808126702356,8.6,9.0,6,40.5
Hammersmith and Fulham 018C,416,171,42,16.836956988324175,7.799999999999999,5.0,7,41.1
Hammersmith and Fulham 018E,341,143,49,16.717153813928004,8.5,8.0,6,41.9
Hammersmith and Fulham 013D,409,139,28,16.63723967895728,9.3,2.0,17,34.0
Hammersmith and Fulham 012D,379,143,33,16.63588390501319,11.9,6.0,7,37.7
Hammersmith and Fulham 008D,501,149,62,16.14541711753538,8.6,4.0,23,29.7
Hammersmith and Fulham 016C,324,153,33,16.145204461176682,7.7,8.0,1,47.2
Hammersmith and Fulham 024B,385,180,53,15.785759379509377,8.6,10.0,4,46.8
Hammersmith and Fulham 020D,424,176,25,15.783550176238855,8.7,6.0,2,41.5
Hammersmith and Fulham 022A,449,197,68,15.437786469593261,8.4,9.0,1,43.9
Hammersmith and Fulham 013A,332,83,38,15.187970287744383,9.1,2.0,19,25.0
Hammersmith and Fulham 014C,557,230,83,15.180091514808748,9.3,9.0,2,41.3
Hammersmith and Fulham 015A,355,80,48,14.551342241483084,10.4,1.0,9,22.5
Hammersmith and Fulham 023H,446,153,22,14.491330480680256,7.9,3.0,10,34.3
Hammersmith and Fulham 017E,530,177,41,14.410149860621557,8.3,4.0,9,33.4
Hammersmith and Fulham 012E,467,164,42,13.462436400739398,7.2,6.0,1,35.1
Hammersmith and Fulham 018B,439,190,33,13.019520026923216,7.900000000000001,9.0,3,43.3
Hammersmith and Fulham 017A,537,154,46,12.383101070251907,5.1,4.0,2,28.7
Hammersmith and Fulham 007D,323,80,11,11.456055769136261,9.9,2.0,8,24.8
Hammersmith and Fulham 025B,442,103,19,10.356906322686866,6.9,2.0,5,23.3
Hammersmith and Fulham 011B,424,91,24,9.970194449483953,11.199999999999998,6.0,6,21.5
Hammersmith and Fulham 023G,233,16,14,4.166484892075021,5.8,3.0,1,6.9
Hammersmith and Fulham 004B,108,6,2,2.8389126305792973,9.3,1.0,0,5.6
Hammersmith and Fulham 023F,399,10,15,1.7842487591077814,5.0,5.0,1,2.5
Hammersmith and Fulham 023E,206,4,5,1.0668053629218677,3.9,6.0,0,1.9
